Project,Version,Suite,Test count,APFDf,TTFF,pTTFF,Test time,Test time / Test count,ApproachTime,TTFF (seconds),TTFF Total,ApproachTime / total.exec.time (%)
Cli,17,STARTS+FAST-S,23,0.0217391304347826,23,1,13.41,0.58304347826087,9.20633333333334,13.41,22.6163333333333,68.652746706438
Cli,18,DPT,23,0.873913043478261,3.4,0.147826086956522,12.22,0.531304347826087,5.17033333333333,1.8064347826087,6.97676811594203,42.3104200763775
Cli,18,Ekstazi,23,0.727536231884058,6.76666666666667,0.294202898550725,12.22,0.531304347826087,5.17,3.59515942028985,8.76515942028986,42.3076923076923
Cli,18,Ekstazi+dpt,23,0.868115942028986,3.53333333333333,0.153623188405797,12.22,0.531304347826087,5.17033333333333,1.87727536231884,7.04760869565217,42.3104200763775
Cli,18,FAST,23,0.365217391304348,15.1,0.656521739130435,12.22,0.531304347826087,0.0766666666666667,8.02269565217391,8.09936231884058,0.627386797599564
Cli,18,Ekstazi+FAST,23,0.76231884057971,5.96666666666667,0.259420289855072,12.22,0.531304347826087,5.175,3.17011594202899,8.34511594202899,42.3486088379705
Cli,18,Random,23,0.547826086956522,10.9,0.473913043478261,12.22,0.531304347826087,,5.79121739130435,5.79121739130435,0
Cli,18,STARTS,23,0.688405797101449,7.66666666666667,0.333333333333333,12.22,0.531304347826087,9.06,4.07333333333333,13.1333333333333,74.1407528641571
Cli,18,STARTS+DPT,23,0.868115942028986,3.53333333333333,0.153623188405797,12.22,0.531304347826087,14.2303333333333,1.87727536231884,16.1076086956522,116.451172940534
Cli,18,STARTS+FAST-S,23,0.653623188405797,8.46666666666667,0.368115942028986,12.22,0.531304347826087,9.06533333333333,4.4983768115942,13.5637101449275,74.1843971631205
Cli,19,DPT,23,0.865217391304348,3.6,0.156521739130435,12.53,0.544782608695652,5.56066666666667,1.96121739130435,7.52188405797101,44.3788241553605
Cli,19,Ekstazi,23,0.668115942028985,8.13333333333333,0.353623188405797,12.53,0.544782608695652,5.56,4.43089855072464,9.99089855072464,44.3735035913807
Cli,19,Ekstazi+dpt,23,0.873913043478261,3.4,0.147826086956522,12.53,0.544782608695652,5.56066666666667,1.85226086956522,7.41292753623188,44.3788241553605
Cli,19,FAST,23,0.355072463768116,15.3333333333333,0.666666666666667,12.53,0.544782608695652,0.077,8.35333333333333,8.43033333333333,0.614525139664804
Cli,19,Ekstazi+FAST,23,0.755072463768116,6.13333333333333,0.266666666666667,12.53,0.544782608695652,5.56533333333333,3.34133333333333,8.90666666666667,44.4160681032189
Cli,19,Random,23,0.446376811594203,13.2333333333333,0.57536231884058,12.53,0.544782608695652,,7.20928985507246,7.20928985507246,0
Cli,19,STARTS,23,0.691304347826087,7.6,0.330434782608696,12.53,0.544782608695652,8.69,4.14034782608696,12.830347826087,69.3535514764565
Cli,19,STARTS+DPT,23,0.866666666666667,3.56666666666667,0.155072463768116,12.53,0.544782608695652,14.2503333333333,1.94305797101449,16.1933913043478,113.729715349827
Cli,19,STARTS+FAST-S,23,0.652173913043478,8.5,0.369565217391305,12.53,0.544782608695652,8.69533333333333,4.63065217391304,13.3259855072464,69.3961159882947
Cli,20,DPT,23,0.866666666666667,3.56666666666667,0.155072463768116,12.32,0.535652173913044,5.39066666666667,1.91049275362319,7.30115942028985,43.7554112554113
Cli,20,Ekstazi,23,0.646376811594203,8.63333333333333,0.37536231884058,12.32,0.535652173913044,5.39,4.62446376811594,10.0144637681159,43.75
Cli,20,Ekstazi+dpt,23,0.873913043478261,3.4,0.147826086956522,12.32,0.535652173913044,5.39066666666667,1.82121739130435,7.21188405797101,43.7554112554113
Cli,20,FAST,23,0.392753623188406,14.4666666666667,0.628985507246377,12.32,0.535652173913044,0.077,7.74910144927536,7.82610144927536,0.625
Cli,20,Ekstazi+FAST,23,0.742028985507247,6.43333333333333,0.279710144927536,12.32,0.535652173913044,5.39533333333333,3.44602898550725,8.84136231884058,43.79329004329
Cli,20,Random,23,0.478260869565217,12.5,0.543478260869565,12.32,0.535652173913044,,6.69565217391304,6.69565217391304,0
Cli,20,STARTS,23,0.653623188405797,8.46666666666667,0.368115942028986,12.32,0.535652173913044,9.28,4.5351884057971,13.8151884057971,75.3246753246753
Cli,20,STARTS+DPT,23,0.865217391304348,3.6,0.156521739130435,12.32,0.535652173913044,14.6706666666667,1.92834782608696,16.5990144927536,119.080086580087
Cli,20,STARTS+FAST-S,23,0.646376811594203,8.63333333333333,0.37536231884058,12.32,0.535652173913044,9.28533333333333,4.62446376811594,13.9097971014493,75.3679653679653
Cli,21,DPT,59,0.74180790960452,15.7333333333333,0.266666666666667,14.87,0.252033898305085,5.35066666666667,3.96533333333333,9.316,35.9829634611074
Cli,21,Ekstazi,59,0.66271186440678,20.4,0.345762711864407,14.87,0.252033898305085,5.35,5.14149152542373,10.4914915254237,35.9784801613988
Cli,21,Ekstazi+dpt,59,0.741242937853107,15.7666666666667,0.267231638418079,14.87,0.252033898305085,5.35033333333333,3.97373446327684,9.32406779661017,35.9807218112531
